user_id,company_id,location,start_date,StartAfter2019,companies_worked,positions_worked,days_worked
9567,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9596,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9596,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9660,8918,"Quebec, Canada",2018-03-01,0,1,2,0
9660,8918,Canada,2018-03-01,0,1,2,306
9783,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
9783,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9891,8918,"Quebec, Canada",2018-03-01,0,1,2,0
9891,8918,Canada,2018-03-01,0,1,2,306
9969,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
9969,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
10005,8815,"İstanbul, Türkiye",2017-12-01,0,7,8,0
10005,8815,"Istanbul, Turkey",2017-12-01,0,7,8,0
10084,26,"Istanbul, Turkey",2019-06-01,1,2,3,0
10084,26,,2019-06-01,1,2,3,122
10171,9298,,2015-09-01,0,3,5,0
10171,9298,"Ibiza, Balear Adaları, İspanya",2015-09-01,0,3,5,30
10244,441,"Istanbul, Turkey",2018-03-01,0,3,4,0
10244,441,,2018-03-01,0,3,4,0
10269,3451,"Istanbul, Turkey",2013-08-01,0,2,9,0
10269,3451,"Ankara, Türkiye",2013-08-01,0,2,9,31
10615,4863,,2010-01-01,0,2,3,0
10615,4863,"İstanbul, Türkiye",2010-01-01,0,2,3,2769
10686,2848,"İstanbul, Türkiye",2015-06-01,0,1,3,0
10686,2848,,2015-06-01,0,1,3,1310
11092,4863,,2010-01-01,0,2,3,0
11092,4863,"İstanbul, Türkiye",2010-01-01,0,2,3,2769
11340,1328,"Güneşli Mah., İstanbul, Türkiye",2014-12-01,0,3,4,0
11340,1328,,2014-12-01,0,3,4,1492
11476,2695,"Istanbul, Turkey",2015-02-01,0,4,5,0
11476,2695,,2015-02-01,0,4,5,394
11806,9944,"Aydin, Turkey",1998-01-01,0,1,2,0
11806,9944,"Aydın, Türkiye",1998-01-01,0,1,2,7670
11867,9944,"Aydin, Turkey",1998-01-01,0,1,2,0
11867,9944,"Aydın, Türkiye",1998-01-01,0,1,2,7670
11897,1877,"Ankara, Turkey",2019-04-01,1,2,3,0
11897,1877,"Mugla, Turkey",2019-04-01,1,2,3,-90
12220,207,,2018-07-01,0,2,4,0
12220,207,"Istanbul, Turkey",2018-07-01,0,2,4,184
12281,1721,,2013-04-01,0,1,2,0
12281,1721,"Tekirdağ, Türkiye",2013-04-01,0,1,2,2101
12380,10354,ORGANİZASYON AĞI YÖNETİCİSİ ,2017-01-01,0,1,2,0
12380,10354,,2017-01-01,0,1,2,730
12657,2777,"Istanbul, Turkey",2016-04-01,0,4,8,0
12657,2777,"Eskisehir, Turkey",2016-04-01,0,4,8,395
12733,4988,"Kadıköy, İstanbul, Türkiye",2015-01-01,0,5,6,0
12733,4988,"İstanbul, Türkiye",2015-01-01,0,5,6,1461
12755,2995,"İstanbul, Türkiye",2019-04-01,1,4,6,0
12755,2995,,2019-04-01,1,4,6,-90
12794,10632,"Eskişehir, Türkiye",2007-09-01,0,1,2,0
12794,10632,"Eskisehir, Turkey",2007-09-01,0,1,2,4140
12800,10635,"Merkez (Şişli) Mah., İstanbul, Türkiye",2017-08-01,0,1,2,0
12800,10635,"Istanbul, Turkey",2017-08-01,0,1,2,518
12858,10551,,2013-10-01,0,3,4,0
12858,10551,"Eskişehir, Türkiye",2013-10-01,0,3,4,1035
13040,2409,Eskişehir,2011-02-01,0,2,3,0
13040,2409,"Eskişehir, Turkey",2011-02-01,0,2,3,2891
13190,2409,"Eskişehir, Turkey",2011-02-01,0,2,3,0
13190,2409,Eskişehir,2011-02-01,0,2,3,2891
13334,88,ankara,2008-10-01,0,2,3,0
13334,88,"Ankara, Turkey",2008-10-01,0,2,3,3744
13359,1503,"Kocaeli, Turkey",2013-06-01,0,2,6,0
13359,1503,"Kocaeli, Türkiye",2013-06-01,0,2,6,426
13366,1930,,2007-06-01,0,4,10,0
13366,1930,"Ankara, Turkey",2007-06-01,0,4,10,458
13377,1503,"Kocaeli, Türkiye",2013-06-01,0,2,6,0
13377,1503,"Kocaeli, Turkey",2013-06-01,0,2,6,426
13381,88,ankara,2008-10-01,0,2,3,0
13381,88,"Ankara, Turkey",2008-10-01,0,2,3,3744
13384,1503,"Kocaeli, Türkiye",2013-06-01,0,2,6,0
13384,1503,"Kocaeli, Turkey",2013-06-01,0,2,6,426
13404,264,"Istanbul, Turkey",2013-02-01,0,6,10,0
13404,264,Eskişehir,2013-02-01,0,6,10,28
13421,2777,"Eskisehir, Turkey",2016-04-01,0,4,8,0
13421,2777,"Istanbul, Turkey",2016-04-01,0,4,8,395
13430,1343,"Istanbul, Turkey",2018-04-01,0,2,3,0
13430,1343,online,2018-04-01,0,2,3,275
13537,1328,"Istanbul, Turkey",2011-02-01,0,3,6,0
13537,1328,İstanbul,2011-02-01,0,3,6,2981
13567,10354,,2017-01-01,0,1,2,0
13567,10354,ORGANİZASYON AĞI YÖNETİCİSİ ,2017-01-01,0,1,2,730
13747,11141,,2017-06-01,0,4,5,0
13747,11141,"Istanbul, Turkey",2017-06-01,0,4,5,579
13763,11155,"Istanbul, Turkey",2014-06-01,0,3,5,0
13763,11155,,2014-06-01,0,3,5,1826
13852,2242,"Maslak Mah., İstanbul Province, Turkey",2017-07-01,0,3,5,0
13852,2242,"Istanbul, Turkey",2017-07-01,0,3,5,761
13981,4276,,2015-09-01,0,1,2,0
13981,4276,"Istanbul, Turkey",2015-09-01,0,1,2,1218
13987,2242,"Maslak Mah., İstanbul Province, Turkey",2017-07-01,0,3,5,0
13987,2242,"Istanbul, Turkey",2017-07-01,0,3,5,761
14136,11159,"Istanbul, Turkey",2016-09-01,0,4,5,0
14136,11159,"İstanbul, Türkiye",2016-09-01,0,4,5,852
14150,3219,,2018-06-01,0,2,3,0
14150,3219,"Istanbul, Turkey",2018-06-01,0,2,3,365
14168,2742,"İstanbul, Türkiye",2017-11-01,0,3,5,0
14168,2742,"Istanbul, Turkey",2017-11-01,0,3,5,426
14224,744,"Kocaeli, Türkiye",2016-03-01,0,4,6,0
14224,744,,2016-03-01,0,4,6,1036
14260,1000,"Istanbul, Turkey",2017-11-01,0,3,4,0
14260,1000,,2017-11-01,0,3,4,426
14298,744,,2016-03-01,0,4,6,0
14298,744,"Kocaeli, Türkiye",2016-03-01,0,4,6,1036
14315,1000,"Istanbul, Turkey",2017-11-01,0,3,4,0
14315,1000,,2017-11-01,0,3,4,426
14332,11499,"Kirklareli, Turkey",2017-10-01,0,4,6,0
14332,11499,,2017-10-01,0,4,6,457
14378,11526,"Tekirdag, Turkey",2019-08-01,1,1,2,0
14378,11526,,2019-08-01,1,1,2,-212
14659,2848,"İstanbul, Türkiye",2015-06-01,0,1,3,0
14659,2848,,2015-06-01,0,1,3,1310
14841,1259,"Istanbul, Turkey",2017-06-01,0,2,3,0
14841,1259,"Maslak Mah., İstanbul, Türkiye",2017-06-01,0,2,3,579
15036,11763,"İzmir, Türkiye",2013-12-01,0,1,2,0
15036,11763,"Izmir, Turkey",2013-12-01,0,1,2,1857
15157,11904,izmir,2016-01-01,0,2,3,0
15157,11904,"Izmir, Turkey",2016-01-01,0,2,3,1096
15181,11904,"Izmir, Turkey",2016-01-01,0,3,5,0
15181,11904,izmir,2016-01-01,0,3,5,1096
15343,12058,,2007-07-01,0,3,4,0
15343,12058,İzmir / Türkiye,2007-07-01,0,3,4,3106
15392,11904,"Izmir, Turkey",2016-01-01,0,3,5,0
15392,11904,izmir,2016-01-01,0,3,5,1096
15608,806,"Izmir, Turkey",2010-06-01,0,3,6,0
15608,806,,2010-06-01,0,3,6,426
15656,11904,izmir,2016-01-01,0,3,5,0
15656,11904,"Izmir, Turkey",2016-01-01,0,3,5,1096
16200,890,Albaraka Migration Credit Card Integration Project Team Leader,2014-01-01,0,1,9,0
16200,890,"Istanbul, Turkey",2014-01-01,0,1,9,365
16442,856,,2011-11-01,0,5,11,0
16442,856,"Sivas, Turkey",2011-11-01,0,5,11,1735
16490,856,,2011-11-01,0,5,11,0
16490,856,"Sivas, Turkey",2011-11-01,0,5,11,1735
16501,856,"Sivas, Turkey",2011-11-01,0,5,11,0
16501,856,,2011-11-01,0,5,11,1735
16624,856,"Sivas, Turkey",2011-11-01,0,5,11,0
16624,856,,2011-11-01,0,5,11,1735
16659,856,,2011-11-01,0,4,7,0
16659,856,"Sivas, Turkey",2011-11-01,0,4,7,1735
16672,856,"Sivas, Turkey",2011-11-01,0,5,11,0
16672,856,,2011-11-01,0,5,11,1735
16691,9501,,2015-07-01,0,4,6,0
16691,9501,"Istanbul, Turkey",2015-07-01,0,4,6,1219
16746,1314,"Kurtköy Mah., İstanbul, Türkiye",2017-08-01,0,3,4,0
16746,1314,"Istanbul, Turkey",2017-08-01,0,3,4,518
16918,314,"Istanbul, Turkey",2017-07-01,0,2,4,0
16918,314,,2017-07-01,0,2,4,457
17040,856,,2011-11-01,0,5,11,0
17040,856,"Sivas, Turkey",2011-11-01,0,5,11,1735
17068,26,"İstanbul, Türkiye",2015-07-01,0,2,3,0
17068,26,Software Engineer,2015-07-01,0,2,3,1280
17077,26,"Istanbul, Turkey",2014-06-01,0,4,5,0
17077,26,"İstanbul, Türkiye",2014-06-01,0,4,5,395
17082,26,"Istanbul, Turkey",2016-02-01,0,4,5,0
17082,26,"İstanbul, Türkiye",2016-02-01,0,4,5,121
17115,856,,2011-11-01,0,5,11,0
17115,856,"Sivas, Turkey",2011-11-01,0,5,11,1735
17129,856,"Sivas, Turkey",2011-11-01,0,5,11,0
17129,856,,2011-11-01,0,5,11,1735
17305,951,"Istanbul, Turkey",2018-06-01,0,3,4,0
17305,951,,2018-06-01,0,3,4,214
17347,951,,2018-06-01,0,3,4,0
17347,951,"Istanbul, Turkey",2018-06-01,0,3,4,214
17579,13168,"İstanbul, Türkiye",2015-01-01,0,3,6,0
17579,13168,,2015-01-01,0,3,6,1461
17771,13168,"İstanbul, Türkiye",2015-01-01,0,3,6,0
17771,13168,,2015-01-01,0,3,6,1461
17902,13460,,2011-08-01,0,1,2,0
17902,13460,"Manisa, Turkey",2011-08-01,0,1,2,2710
17930,1602,,2018-03-01,0,6,7,0
17930,1602,"Istanbul, Turkey",2018-03-01,0,6,7,426
17999,1126,,2015-09-01,0,3,4,0
17999,1126,"İstanbul, Türkiye",2015-09-01,0,3,4,1218
18090,13575,"Istanbul, Turkey",2018-04-01,0,2,3,0
18090,13575,"Şişli, İstanbul, Türkiye",2018-04-01,0,2,3,275
18271,1772,,2017-07-01,0,3,5,0
18271,1772,"Istanbul, Turkey",2017-07-01,0,3,5,549
18530,1126,"İstanbul, Türkiye",2015-09-01,0,3,4,0
18530,1126,,2015-09-01,0,3,4,1218
18870,13981,,2018-07-01,0,2,4,0
18870,13981,"Istanbul, Turkey",2018-07-01,0,2,4,184
19052,815,Maslak / Istanbul,2011-07-01,0,1,2,0
19052,815,,2011-07-01,0,1,2,2741
19139,6474,"Istanbul, Turkey",2018-09-01,0,5,6,0
19139,6474,,2018-09-01,0,5,6,153
19176,153,,2008-11-01,0,3,4,0
19176,153,"İstanbul, Türkiye",2008-11-01,0,3,4,2311
19250,1805,,2010-01-01,0,3,4,0
19250,1805,"Istanbul, Turkey",2010-01-01,0,3,4,2588
19252,1339,"Istanbul, Turkey",2011-02-01,0,1,2,0
19252,1339,,2011-02-01,0,1,2,2891
19263,14188,"Odunpazarı, Eskişehir, Türkiye",2018-04-01,0,3,4,0
19263,14188,,2018-04-01,0,3,4,275
19265,837,Gebze,2008-05-01,0,3,11,0
19265,837,"İstanbul, Türkiye",2008-05-01,0,3,11,153
19314,1082,"İstanbul, Türkiye",2016-05-01,0,3,4,0
19314,1082,,2016-05-01,0,3,4,975
19338,6638,Gayrettepe,2003-11-01,0,1,2,0
19338,6638,,2003-11-01,0,1,2,5540
19445,837,Gebze,2008-05-01,0,3,11,0
19445,837,"İstanbul, Türkiye",2008-05-01,0,3,11,153
19496,511,İstanbul,2008-09-01,0,5,8,0
19496,511,,2008-09-01,0,5,8,487
19496,740,İSTANBUL,2010-01-01,0,5,8,0
19496,740,"Istanbul, Turkey",2010-01-01,0,5,8,2007
19505,1339,,2011-02-01,0,1,2,0
19505,1339,"Istanbul, Turkey",2011-02-01,0,1,2,2891
19511,14188,,2018-04-01,0,3,4,0
19511,14188,"Odunpazarı, Eskişehir, Türkiye",2018-04-01,0,3,4,275
19525,6474,"Istanbul, Turkey",2018-09-01,0,5,6,0
19525,6474,,2018-09-01,0,5,6,0
19534,1805,,2010-01-01,0,3,4,0
19534,1805,"Istanbul, Turkey",2010-01-01,0,3,4,2588
19554,1411,"Istanbul, Turkey",2014-05-01,0,6,7,0
19554,1411,,2014-05-01,0,6,7,1492
19556,14188,,2018-04-01,0,3,4,0
19556,14188,"Odunpazarı, Eskişehir, Türkiye",2018-04-01,0,3,4,275
19565,6638,Gayrettepe,2003-11-01,0,1,2,0
19565,6638,,2003-11-01,0,1,2,5540
19571,153,,2008-11-01,0,3,4,0
19571,153,"İstanbul, Türkiye",2008-11-01,0,3,4,2311
19593,6474,,2018-09-01,0,5,6,0
19593,6474,"Istanbul, Turkey",2018-09-01,0,5,6,0
19596,1805,,2010-01-01,0,3,4,0
19596,1805,"Istanbul, Turkey",2010-01-01,0,3,4,2588
19601,6474,,2018-09-01,0,5,6,0
19601,6474,"Istanbul, Turkey",2018-09-01,0,5,6,153
19877,594,"Istanbul, Turkey",2013-03-01,0,2,3,0
19877,594,,2013-03-01,0,2,3,2132
19889,153,,2008-11-01,0,3,4,0
19889,153,"İstanbul, Türkiye",2008-11-01,0,3,4,2311
19925,594,,2013-03-01,0,2,3,0
19925,594,"Istanbul, Turkey",2013-03-01,0,2,3,2132
19949,1872,"Istanbul, Turkey",2006-04-01,0,2,7,0
19949,1872,,2006-04-01,0,2,7,1644
