user_id,language,proficiency
734,rus,limited_working
734,eng,full_professional
734,tur,native_or_bilingual
735,tur,
735,eng,
736,eng,professional_working
736,tur,full_professional
736,ara,elementary
739,eng,professional_working
739,deu,limited_working
739,tur,native_or_bilingual
741,tur,native_or_bilingual
741,eng,professional_working
743,eng,limited_working
743,tur,full_professional
744,eng,native_or_bilingual
748,eng,professional_working
749,eng,professional_working
754,eng,professional_working
757,eng,limited_working
757,tur,native_or_bilingual
758,eng,limited_working
758,tur,native_or_bilingual
763,eng,elementary
767,eng,limited_working
768,tur,native_or_bilingual
768,eng,professional_working
769,eng,limited_working
773,eng,professional_working
774,eng,professional_working
775,tur,native_or_bilingual
775,eng,professional_working
775,kur,native_or_bilingual
779,tur,
779,eng,
783,eng,elementary
783,tur,native_or_bilingual
784,kur,
785,eng,full_professional
785,i̇spanyolca,elementary
785,tur,native_or_bilingual
786,eng,
791,eng,
791,deu,
793,eng,professional_working
793,tur,
798,tur,
800,eng,professional_working
801,eng,professional_working
801,tur,native_or_bilingual
802,tur,native_or_bilingual
802,eng,professional_working
803,kor,elementary
803,eng,professional_working
803,tur,native_or_bilingual
805,eng,professional_working
806,eng,professional_working
807,tur,native_or_bilingual
807,eng,professional_working
808,eng,professional_working
809,eng,limited_working
809,tur,native_or_bilingual
811,eng,professional_working
812,eng,
813,eng,full_professional
813,tur,native_or_bilingual
814,eng,limited_working
815,eng,
817,eng,elementary
817,tur,native_or_bilingual
818,eng,full_professional
818,i̇spanyolca,elementary
818,tur,native_or_bilingual
820,eng,limited_working
821,eng,
821,deu,
822,tur,native_or_bilingual
822,eng,limited_working
825,eng,elementary
825,tur,native_or_bilingual
828,eng,full_professional
828,i̇spanyolca,elementary
828,tur,native_or_bilingual
830,eng,
830,deu,
832,tur,native_or_bilingual
832,azerice,native_or_bilingual
832,eng,elementary
833,eng,
833,deu,
834,eng,limited_working
837,eng,professional_working
837,deu,limited_working
838,tur,native_or_bilingual
838,eng,full_professional
838,deu,limited_working
840,tur,native_or_bilingual
840,eng,professional_working
847,eng,professional_working
847,lehçe,elementary
848,eng,limited_working
849,tur,native_or_bilingual
849,eng,professional_working
851,deu,elementary
853,tur,
853,eng,
858,tur,native_or_bilingual
858,rus,elementary
858,eng,professional_working
860,tur,native_or_bilingual
860,eng,professional_working
862,eng,
864,eng,native_or_bilingual
865,eng,professional_working
865,i̇spanyolca,elementary
866,tur,
866,eng,
867,eng,professional_working
868,eng,limited_working
873,tur,native_or_bilingual
873,eng,limited_working
878,tur,native_or_bilingual
878,eng,professional_working
882,eng,
886,eng,professional_working
891,eng,professional_working
891,deu,limited_working
893,eng,limited_working
898,tur,native_or_bilingual
898,eng,limited_working
900,tur,
900,eng,
901,eng,professional_working
902,eng,professional_working
902,tur,native_or_bilingual
903,tur,native_or_bilingual
903,arabish,native_or_bilingual
903,eng,professional_working
904,eng,full_professional
906,tur,native_or_bilingual
906,eng,professional_working
908,eng,limited_working
908,deu,elementary
909,tur,native_or_bilingual
909,eng,limited_working
912,tur,native_or_bilingual
912,eng,professional_working
913,eng,professional_working
913,deu,limited_working
915,tur,native_or_bilingual
915,eng,full_professional
916,tur,native_or_bilingual
916,eng,limited_working
918,tur,native_or_bilingual
918,eng,limited_working
921,eng,professional_working
921,deu,limited_working
923,eng,full_professional
925,eng,limited_working
926,eng,
929,eng,full_professional
929,kur,native_or_bilingual
929,deu,elementary
931,eng,limited_working
932,eng,native_or_bilingual
932,tur,native_or_bilingual
933,tur,native_or_bilingual
933,ara,native_or_bilingual
933,eng,professional_working
934,eng,limited_working
935,eng,limited_working
936,tur,
936,eng,
939,tur,native_or_bilingual
939,eng,professional_working
941,tur,native_or_bilingual
941,eng,professional_working
942,eng,professional_working
943,eng,limited_working
944,eng,
945,tur,native_or_bilingual
945,eng,professional_working
946,eng,professional_working
947,eng,professional_working
947,eng,full_professional
949,eng,full_professional
950,eng,limited_working
952,eng,limited_working
954,eng,limited_working
954,tur,native_or_bilingual
957,eng,full_professional
957,tur,native_or_bilingual
958,eng,professional_working
965,tur,native_or_bilingual
965,eng,limited_working
967,eng,full_professional
967,tur,native_or_bilingual
968,eng,limited_working
968,tur,native_or_bilingual
970,eng,limited_working
973,i̇ngi̇li̇zce,
973,tur,native_or_bilingual
974,tur,native_or_bilingual
974,eng,
975,tur,
975,eng,
979,tur,native_or_bilingual
979,eng,limited_working
981,tur,
981,eng,
984,tur,native_or_bilingual
984,eng,limited_working
985,eng,full_professional
988,eng,limited_working
989,eng,
990,tur,native_or_bilingual
990,eng,limited_working
991,eng,professional_working
992,eng,limited_working
993,tur,native_or_bilingual
993,eng,limited_working
995,eng,
996,eng,professional_working
999,eng,professional_working
999,deu,elementary
999,tur,native_or_bilingual
1000,eng,professional_working
1000,tur,native_or_bilingual
1002,tur,
1002,eng,
1008,tur,native_or_bilingual
1008,eng,limited_working
1009,eng,limited_working
1012,tur,native_or_bilingual
1012,eng,limited_working
1013,eng,limited_working
1014,tur,native_or_bilingual
1014,eng,professional_working
1015,tur,native_or_bilingual
1015,eng,full_professional
1015,deu,elementary
1017,eng,limited_working
1019,tur,native_or_bilingual
1019,eng,professional_working
1020,tur,native_or_bilingual
1020,eng,limited_working
1021,eng,limited_working
1022,eng,professional_working
1024,eng,professional_working
1025,tur,native_or_bilingual
1025,eng,limited_working
1026,tur,native_or_bilingual
1026,eng,limited_working
1029,eng,limited_working
1037,eng,limited_working
1038,eng,full_professional
1038,tur,native_or_bilingual
1039,tur,
1039,eng,
1040,eng,professional_working
1040,tur,native_or_bilingual
1042,eng,limited_working
1042,tur,native_or_bilingual
1042,deu,elementary
1047,eng,professional_working
1047,tur,native_or_bilingual
1050,eng,limited_working
1052,tur,native_or_bilingual
1052,eng,full_professional
1056,tur,
1056,eng,
1057,eng,limited_working
1058,tur,
1058,eng,professional_working
1065,tur,
1065,eng,
1066,eng,limited_working
1068,eng,professional_working
1068,tur,native_or_bilingual
1070,tur,native_or_bilingual
1070,eng,limited_working
1071,eng,limited_working
1072,eng,professional_working
1072,tur,native_or_bilingual
1073,eng,native_or_bilingual
1073,tur,native_or_bilingual
1074,eng,elementary
1076,eng,professional_working
1079,tur,
1079,eng,
1080,tur,native_or_bilingual
1080,eng,limited_working
1081,eng,
1083,tur,native_or_bilingual
1083,eng,full_professional
1085,tur,native_or_bilingual
1085,eng,
1087,eng,professional_working
1087,tur,native_or_bilingual
1090,tur,native_or_bilingual
1090,eng,limited_working
1092,eng,limited_working
1095,eng,
1100,eng,
1103,eng,limited_working
1104,eng,professional_working
1105,eng,professional_working
1106,eng,professional_working
1106,tur,native_or_bilingual
1111,eng,limited_working
1112,eng,professional_working
1112,deu,limited_working
1114,eng,
1120,tur,native_or_bilingual
1120,eng,professional_working
1125,eng,limited_working
1125,tur,native_or_bilingual
1127,eng,full_professional
1127,spa,
1128,eng,professional_working
1129,tur,native_or_bilingual
1129,eng,professional_working
1130,tur,native_or_bilingual
1130,eng,full_professional
1131,eng,limited_working
1133,eng,professional_working
1133,tur,native_or_bilingual
1135,eng,professional_working
1135,tur,native_or_bilingual
1136,tur,native_or_bilingual
1136,eng,professional_working
1137,eng,professional_working
1138,tur,
1138,eng,
1140,eng,full_professional
1142,tur,native_or_bilingual
1142,eng,limited_working
1143,eng,limited_working
1144,eng,professional_working
1146,tur,
1146,eng,
1150,eng,
1152,eng,professional_working
1152,tur,native_or_bilingual
1156,tur,
1156,eng,professional_working
1157,tur,native_or_bilingual
1157,eng,limited_working
1158,tur,full_professional
1158,eng,professional_working
1159,tur,native_or_bilingual
1159,eng,limited_working
1160,eng,
1161,eng,
1162,tur,native_or_bilingual
1162,eng,limited_working
1165,tur,native_or_bilingual
1165,kur,native_or_bilingual
1165,eng,professional_working
1167,eng,
1168,eng,
1170,eng,native_or_bilingual
1170,tur,native_or_bilingual
1173,tur,
1173,eng,
1174,tur,
1174,eng,
1178,eng,limited_working
1179,eng,professional_working
1179,deu,limited_working
1180,tur,native_or_bilingual
1180,eng,limited_working
1186,tur,native_or_bilingual
1186,eng,professional_working
1187,tur,native_or_bilingual
1187,kur,native_or_bilingual
1187,eng,professional_working
1188,tur,native_or_bilingual
1188,kur,native_or_bilingual
1188,eng,professional_working
1190,eng,full_professional
1192,tur,native_or_bilingual
1192,eng,limited_working
1194,tur,native_or_bilingual
1194,eng,professional_working
1195,eng,professional_working
1196,eng,limited_working
1197,eng,
1201,eng,limited_working
1201,tur,native_or_bilingual
1201,deu,elementary
1202,tur,native_or_bilingual
1202,jpn,elementary
1202,deu,elementary
1202,eng,professional_working
1203,eng,limited_working
1203,tur,native_or_bilingual
1204,eng,full_professional
1205,eng,professional_working
1207,eng,limited_working
1208,tur,
1208,eng,
1210,eng,professional_working
1210,tur,native_or_bilingual
1211,eng,professional_working
1212,eng,professional_working
1214,eng,professional_working
1215,eng,professional_working
1216,eng,native_or_bilingual
1216,tur,native_or_bilingual
1219,tur,
1219,eng,
1221,eng,native_or_bilingual
1221,tur,native_or_bilingual
1224,tur,native_or_bilingual
1224,eng,professional_working
1226,eng,full_professional
1228,eng,professional_working
1228,tur,native_or_bilingual
1229,eng,professional_working
1230,eng,
1231,tur,native_or_bilingual
1231,eng,
1232,eng,limited_working
1233,eng,limited_working
1234,eng,
1237,eng,professional_working
1238,eng,
1240,eng,professional_working
1243,eng,professional_working
1243,tur,
1247,tur,native_or_bilingual
1247,eng,professional_working
1248,tur,native_or_bilingual
1248,eng,professional_working
1250,eng,professional_working
1250,i̇spanyolca,elementary
1250,tur,native_or_bilingual
1252,tur,native_or_bilingual
1252,eng,professional_working
1255,eng,professional_working
1256,eng,professional_working
1258,eng,professional_working
1258,tur,native_or_bilingual
1259,eng,limited_working
1259,ara,elementary
1260,eng,professional_working
1261,eng,professional_working
1261,por,elementary
1261,spa,elementary
1261,tur,native_or_bilingual
1263,eng,full_professional
1263,tur,native_or_bilingual
1266,tur,
1266,eng,
1267,eng,professional_working
1268,tur,native_or_bilingual
1268,eng,full_professional
1269,tur,native_or_bilingual
1269,eng,professional_working
1270,eng,professional_working
1271,eng,limited_working
1272,tur,
1272,eng,
1275,tur,
1275,eng,
1276,tur,native_or_bilingual
1276,eng,full_professional
1278,tur,native_or_bilingual
1278,eng,professional_working
1280,tur,native_or_bilingual
1280,eng,professional_working
1283,eng,professional_working
1287,eng,full_professional
1287,tur,native_or_bilingual
1287,eng,professional_working
1288,tur,native_or_bilingual
1288,eng,limited_working
1290,tur,native_or_bilingual
1290,eng,limited_working
1291,eng,professional_working
1291,deu,elementary
1291,tur,native_or_bilingual
1294,eng,
1296,tur,native_or_bilingual
1296,eng,limited_working
1298,ara,elementary
1298,eng,limited_working
1298,deu,elementary
1298,tur,native_or_bilingual
1300,eng,professional_working
1301,tur,native_or_bilingual
1301,eng,professional_working
1302,eng,limited_working
1302,deu,elementary
1304,tur,native_or_bilingual
1304,eng,professional_working
1307,eng,professional_working
1307,deu,limited_working
1310,tur,native_or_bilingual
1310,eng,limited_working
1311,tur,native_or_bilingual
1311,eng,professional_working
1313,tur,native_or_bilingual
1313,eng,professional_working
1315,tur,native_or_bilingual
1315,eng,limited_working
1315,ara,elementary
1316,eng,
1317,tur,native_or_bilingual
1317,eng,limited_working
1318,tur,native_or_bilingual
1318,eng,limited_working
1319,eng,professional_working
1320,eng,professional_working
1326,eng,
1330,eng,professional_working
1331,tur,
1331,eng,professional_working
1334,eng,limited_working
1340,eng,limited_working
1341,eng,limited_working
1343,tur,native_or_bilingual
1343,eng,limited_working
1343,ara,native_or_bilingual
1349,eng,professional_working
1351,tur,
1351,eng,
1356,eng,professional_working
1356,tur,
1357,eng,
1357,deu,
1359,tur,native_or_bilingual
1359,eng,limited_working
1362,eng,professional_working
1362,tur,native_or_bilingual
1365,eng,
1367,eng,professional_working
1367,tur,native_or_bilingual
1368,eng,professional_working
1368,deu,elementary
1369,eng,professional_working
1370,tur,native_or_bilingual
1370,eng,professional_working
1371,eng,full_professional
1372,tur,
1372,eng,
1373,eng,limited_working
1373,tur,native_or_bilingual
1374,eng,professional_working
1377,tur,native_or_bilingual
1377,eng,professional_working
1380,tur,native_or_bilingual
1380,eng,limited_working
1381,tur,native_or_bilingual
1381,eng,professional_working
1383,tur,native_or_bilingual
1383,eng,limited_working
1385,tur,native_or_bilingual
1385,eng,limited_working
1386,eng,professional_working
1387,eng,full_professional
1387,tur,native_or_bilingual
1389,eng,professional_working
1393,tur,native_or_bilingual
1393,eng,limited_working
1394,tur,native_or_bilingual
1394,eng,limited_working
1396,eng,
1396,deu,
1397,tur,native_or_bilingual
1397,eng,limited_working
1404,eng,professional_working
1408,eng,
1408,deu,
1411,eng,
1411,deu,
1412,tur,native_or_bilingual
1412,eng,limited_working
1413,tur,native_or_bilingual
1413,eng,limited_working
1414,tur,native_or_bilingual
1414,eng,limited_working
1415,eng,
1416,fra,native_or_bilingual
1416,eng,native_or_bilingual
1416,tur,full_professional
1416,spa,limited_working
1416,zho,elementary
1418,tur,native_or_bilingual
1418,eng,professional_working
1419,eng,full_professional
1420,eng,full_professional
1421,tur,native_or_bilingual
1421,eng,professional_working
1422,eng,full_professional
1423,tur,native_or_bilingual
1423,eng,professional_working
1424,tur,native_or_bilingual
1424,eng,professional_working
1425,eng,full_professional
1426,eng,
1428,tur,native_or_bilingual
1428,eng,limited_working
1429,eng,full_professional
1429,tur,native_or_bilingual
1430,tur,native_or_bilingual
1430,eng,full_professional
1430,deu,elementary
1431,eng,professional_working
1431,tur,native_or_bilingual
1432,tur,native_or_bilingual
1432,eng,professional_working
1436,eng,professional_working
1436,tur,native_or_bilingual
1437,tur,native_or_bilingual
1437,eng,professional_working
1439,eng,professional_working
1439,tur,native_or_bilingual
1444,eng,full_professional
1444,tur,native_or_bilingual
1445,eng,elementary
1449,eng,professional_working
1449,sırpça,native_or_bilingual
1449,tur,native_or_bilingual
1450,eng,professional_working
1450,tur,full_professional
1450,zho,elementary
1452,eng,professional_working
1452,ara,professional_working
1453,tur,native_or_bilingual
1453,eng,limited_working
1454,eng,limited_working
1454,tur,native_or_bilingual
1456,tur,native_or_bilingual
1456,eng,professional_working
1457,tur,
1457,eng,
1458,tur,native_or_bilingual
1458,eng,professional_working
1459,eng,full_professional
1459,tur,native_or_bilingual
1459,jpn,elementary
1460,eng,professional_working
1462,tur,native_or_bilingual
1462,eng,professional_working
1465,eng,limited_working
1468,eng,professional_working
1468,tur,native_or_bilingual
1471,tur,
1471,eng,
1475,tur,native_or_bilingual
1475,eng,professional_working
1475,deu,elementary
1476,eng,professional_working
1477,eng,limited_working
1482,tur,native_or_bilingual
1482,eng,professional_working
1482,deu,limited_working
1483,tur,native_or_bilingual
1483,eng,full_professional
1484,eng,limited_working
1485,eng,professional_working
1486,eng,limited_working
1487,eng,full_professional
1487,tur,native_or_bilingual
1488,eng,
1489,eng,professional_working
1491,tur,native_or_bilingual
1491,eng,professional_working
1493,eng,limited_working
1493,español,elementary
1494,eng,professional_working
1494,tur,native_or_bilingual
1496,eng,
1497,eng,full_professional
1499,eng,professional_working
1499,tur,native_or_bilingual
1500,eng,limited_working
1502,tur,native_or_bilingual
1502,eng,limited_working
1503,tur,native_or_bilingual
1503,eng,limited_working
1504,tur,native_or_bilingual
1504,eng,professional_working
1505,tur,native_or_bilingual
1505,eng,professional_working
1506,tur,native_or_bilingual
1506,eng,professional_working
1506,bulgarian,elementary
1506,rus,elementary
1507,eng,professional_working
1507,tur,native_or_bilingual
1508,eng,
1509,eng,
1510,eng,professional_working
1510,tur,native_or_bilingual
1512,eng,
1514,eng,professional_working
1515,tur,native_or_bilingual
1515,eng,limited_working
1516,tur,native_or_bilingual
1516,eng,professional_working
1518,eng,full_professional
1519,tur,native_or_bilingual
1519,eng,limited_working
1521,eng,limited_working
1522,tur,native_or_bilingual
1522,eng,limited_working
1523,tur,native_or_bilingual
1523,eng,full_professional
1524,fra,
1524,eng,
1524,deu,
1525,tur,native_or_bilingual
1525,eng,full_professional
1525,deu,elementary
1526,tur,native_or_bilingual
1526,eng,full_professional
1527,eng,professional_working
1527,tur,native_or_bilingual
1528,tur,native_or_bilingual
1528,eng,professional_working
1532,eng,limited_working
1534,eng,professional_working
1537,fra,
1537,eng,
