user_id,StartAfter2019,companies_worked,positions_worked,days_worked,max_days_worked,min_days_worked,avg_days_worked,total_days_worked
166,0,1,1,92,92,92,92,92
167,0,3,5,2099,2099,61,681,3409
169,0,3,3,183,212,-181,71,214
170,0,1,1,730,730,730,730,730
172,0,11,11,1127,1155,-243,401,4414
173,1,1,1,-151,-151,-151,-151,-151
175,0,6,6,579,730,91,340,2040
176,0,1,1,457,457,457,457,457
179,1,1,1,-181,-181,-181,-181,-181
188,0,5,7,365,1857,184,548,3836
189,0,2,2,396,396,-212,92,184
192,0,3,3,1066,1066,-212,426,1280
193,0,1,2,62,122,62,92,184
194,0,2,2,1979,1979,-212,883,1767
195,0,2,4,61,334,0,144,579
196,0,3,3,92,487,0,193,579
197,0,3,3,974,974,-31,517,1553
199,0,1,2,365,365,-181,92,184
201,0,3,3,273,273,92,193,579
202,0,1,1,184,184,184,184,184
205,1,1,1,-31,-31,-31,-31,-31
206,0,3,4,2191,2191,0,875,3501
207,0,2,2,2099,2099,214,1156,2313
209,0,6,7,59,700,-90,260,1826
210,1,1,1,-212,-212,-212,-212,-212
212,1,3,3,28,245,-304,-10,-31
214,0,2,3,365,1856,-181,680,2040
215,0,2,2,365,365,214,289,579
216,0,2,3,61,761,61,294,883
219,0,2,2,789,789,-90,349,699
220,0,1,1,184,184,184,184,184
221,0,4,4,62,853,-212,320,1280
222,0,2,3,61,487,-334,71,214
223,0,4,6,639,1125,31,507,3044
224,0,2,2,638,638,-273,182,365
226,0,2,3,365,365,-181,71,214
227,0,1,2,548,548,-334,107,214
228,0,3,4,395,699,153,418,1675
230,0,1,3,214,424,214,314,944
231,0,1,1,730,730,730,730,730
233,0,2,2,365,365,184,274,549
234,0,1,1,334,334,334,334,334
235,0,2,3,365,2557,365,1157,3471
236,0,4,4,365,761,-31,411,1645
237,0,3,3,335,731,335,548,1645
238,0,3,4,668,730,184,487,1948
239,0,2,2,0,275,0,137,275
241,0,1,1,1249,1249,1249,1249,1249
243,0,5,5,215,1583,-212,402,2010
244,0,3,3,365,457,-273,183,549
245,0,1,2,365,365,214,289,579
246,1,1,1,-151,-151,-151,-151,-151
249,0,2,3,120,457,120,233,699
250,0,2,2,1278,1278,214,746,1492
251,0,2,2,1188,1188,883,1035,2071
252,0,1,1,31,31,31,31,31
253,0,2,2,335,335,214,274,549
255,1,1,1,-181,-181,-181,-181,-181
256,0,3,3,366,2587,-212,913,2741
257,0,4,4,123,731,123,335,1341
258,0,1,1,122,122,122,122,122
259,0,2,2,1675,1675,365,1020,2040
260,0,1,1,579,579,579,579,579
261,0,2,3,273,1096,214,527,1583
262,0,2,2,395,395,-181,107,214
263,0,3,3,365,518,-334,183,549
264,1,1,1,-181,-181,-181,-181,-181
266,0,1,1,214,214,214,214,214
268,0,1,2,395,395,-181,107,214
269,0,1,1,518,518,518,518,518
272,1,1,2,120,120,-151,-15,-31
273,0,2,2,426,426,-212,107,214
274,0,1,1,214,214,214,214,214
276,0,2,2,1004,1004,914,959,1918
279,0,3,4,731,731,-181,403,1614
280,0,1,2,577,577,-212,182,365
281,0,4,5,2283,2283,-212,700,3501
282,1,1,1,-273,-273,-273,-273,-273
283,0,2,2,945,1430,945,1187,2375
285,1,1,1,-273,-273,-273,-273,-273
286,0,1,2,184,365,184,274,549
287,1,1,1,-151,-151,-151,-151,-151
288,0,2,2,2130,2130,92,1111,2222
290,0,2,2,2984,2984,-31,1476,2953
291,0,3,3,335,335,0,132,396
292,0,2,2,61,214,61,137,275
294,0,6,7,884,884,-243,239,1675
298,0,4,5,366,671,-243,262,1310
300,0,4,4,366,914,366,685,2741
301,0,1,1,457,457,457,457,457
302,0,3,4,184,1247,184,502,2010
304,0,3,3,215,2191,-31,791,2375
306,0,4,4,215,487,-212,228,914
307,1,1,1,-304,-304,-304,-304,-304
308,0,3,4,1430,1430,-273,510,2040
309,0,1,1,122,122,122,122,122
310,0,3,3,335,1218,335,670,2010
311,0,4,5,365,609,31,395,1979
312,0,1,1,365,365,365,365,365
313,0,1,1,31,31,31,31,31
314,0,2,2,181,671,181,426,852
317,1,1,1,-151,-151,-151,-151,-151
318,0,1,1,2649,2649,2649,2649,2649
319,0,1,1,944,944,944,944,944
320,0,1,1,1218,1218,1218,1218,1218
321,0,3,3,243,730,243,487,1461
322,0,5,6,61,761,-304,157,944
324,1,1,1,-212,-212,-212,-212,-212
325,0,2,2,1156,1156,-212,472,944
326,1,1,1,-304,-304,-304,-304,-304
327,0,2,2,1764,1764,549,1156,2313
328,1,1,1,-273,-273,-273,-273,-273
330,1,1,1,-212,-212,-212,-212,-212
331,0,1,2,547,914,547,730,1461
334,0,5,5,31,334,-334,36,184
337,0,1,1,1310,1310,1310,1310,1310
338,0,2,2,212,212,-59,76,153
339,1,1,1,-212,-212,-212,-212,-212
340,0,1,1,214,214,214,214,214
341,0,3,3,821,821,31,335,1005
343,1,1,1,-181,-181,-181,-181,-181
344,1,1,1,-120,-120,-120,-120,-120
345,1,1,1,-243,-243,-243,-243,-243
346,0,3,4,335,335,-181,137,549
347,1,2,2,122,122,-273,-75,-151
348,0,2,3,945,945,151,436,1310
349,1,1,1,-212,-212,-212,-212,-212
350,0,1,1,122,122,122,122,122
351,0,3,3,1005,1005,-304,548,1645
352,0,2,2,365,365,214,289,579
353,0,1,1,184,184,184,184,184
355,1,1,1,-31,-31,-31,-31,-31
356,0,4,4,396,610,396,502,2010
357,1,2,2,242,242,-273,-15,-31
358,0,3,3,30,487,30,284,852
361,0,4,4,31,1033,-273,220,883
362,0,2,2,245,245,-31,107,214
363,0,2,2,577,1249,577,913,1826
364,0,1,1,883,883,883,883,883
365,1,1,1,-212,-212,-212,-212,-212
367,0,1,1,1522,1522,1522,1522,1522
368,1,1,1,-212,-212,-212,-212,-212
369,0,2,2,365,365,-151,107,214
370,0,2,2,365,365,-151,107,214
371,1,1,1,-243,-243,-243,-243,-243
372,0,3,3,1673,1673,-151,629,1887
373,0,1,1,214,214,214,214,214
376,0,2,2,457,457,-243,107,214
377,0,2,2,335,335,-151,92,184
378,0,7,9,457,1369,-120,348,3136
379,0,1,1,214,214,214,214,214
380,0,3,3,2161,2161,-181,842,2526
383,0,2,2,335,335,-151,92,184
384,0,2,2,1096,1096,184,640,1280
385,1,1,1,-151,-151,-151,-151,-151
386,0,4,4,30,212,-181,53,214
388,0,4,6,1096,1096,-304,218,1310
390,1,1,1,-90,-90,-90,-90,-90
391,0,1,1,579,579,579,579,579
393,0,2,2,1796,1796,214,1005,2010
394,1,2,2,30,30,-181,-75,-151
395,0,3,4,456,791,61,434,1736
397,1,1,1,-151,-151,-151,-151,-151
398,0,2,2,2708,2708,-151,1278,2557
399,1,1,1,-151,-151,-151,-151,-151
404,0,3,3,303,1584,61,649,1948
405,0,1,1,275,275,275,275,275
407,0,1,1,214,214,214,214,214
408,0,1,1,184,184,184,184,184
409,0,5,5,730,730,-212,207,1036
410,0,6,6,579,730,91,340,2040
411,0,3,4,334,334,-181,83,334
413,0,2,2,215,215,-31,92,184
414,0,2,2,1126,1126,92,609,1218
416,0,3,4,336,760,31,335,1341
418,0,11,11,1127,1155,-243,401,4414
419,0,1,1,1645,1645,1645,1645,1645
420,0,2,2,1827,1827,914,1370,2741
421,0,4,4,273,822,153,403,1614
422,0,5,6,1126,1126,0,446,2679
423,1,1,1,-120,-120,-120,-120,-120
424,1,1,1,-181,-181,-181,-181,-181
425,0,4,4,365,1096,365,593,2375
426,0,2,2,396,396,-212,92,184
429,0,4,4,31,1431,31,502,2010
430,0,2,2,577,577,-90,243,487
431,0,3,4,668,730,184,487,1948
432,0,2,2,700,700,214,457,914
433,0,5,5,730,730,-212,207,1036
434,0,1,2,973,973,184,578,1157
435,0,1,1,31,31,31,31,31
436,0,3,3,122,1003,-181,314,944
437,0,2,3,365,2557,365,1157,3471
438,0,2,2,761,761,153,457,914
439,0,4,6,1096,1096,-273,314,1887
440,0,2,2,700,700,-151,274,549
441,0,1,3,792,2922,792,1846,5540
442,0,2,2,1157,1157,153,655,1310
443,0,2,2,854,2252,854,1553,3106
444,0,3,3,365,427,-243,183,549
445,1,1,1,-243,-243,-243,-243,-243
446,0,3,4,2130,2130,150,761,3044
447,0,3,4,334,334,-181,83,334
448,0,2,2,2984,2984,-243,1370,2741
449,0,5,5,365,1431,-212,475,2375
450,0,3,3,365,426,-212,193,579
451,0,2,4,61,334,0,144,579
452,0,3,3,62,395,-273,61,184
453,0,1,1,730,730,730,730,730
454,0,5,5,120,488,-273,73,365
455,0,6,7,59,700,-90,260,1826
456,0,1,3,214,424,214,314,944
457,0,1,1,579,579,579,579,579
458,0,1,2,792,792,791,791,1583
459,1,1,1,-151,-151,-151,-151,-151
460,0,2,2,334,671,334,502,1005
461,0,5,5,1338,2436,153,888,4444
462,0,6,6,579,730,91,340,2040
463,0,11,11,1127,1155,-243,401,4414
464,0,3,3,2161,2161,-181,842,2526
465,0,2,2,2709,2709,-304,1202,2405
466,0,3,3,730,853,457,680,2040
467,0,5,5,2252,2253,0,1339,6696
468,0,2,2,730,730,306,518,1036
469,0,5,6,1126,1126,0,446,2679
470,0,2,2,396,396,-212,92,184
471,0,4,5,336,760,-304,268,1341
472,1,1,1,-120,-120,-120,-120,-120
474,0,1,1,2649,2649,2649,2649,2649
475,0,2,2,1887,1887,426,1156,2313
476,0,5,5,1338,2436,153,888,4444
477,0,2,2,334,671,334,502,1005
478,0,7,7,1127,1155,0,630,4414
479,0,4,4,1037,1096,31,715,2863
480,0,5,5,2252,2253,0,1339,6696
481,0,2,2,1188,1188,883,1035,2071
482,0,5,5,2252,2253,0,1339,6696
483,0,5,5,120,488,-273,73,365
484,0,7,7,1127,1155,0,630,4414
485,0,1,1,730,730,730,730,730
486,0,2,2,2984,2984,-31,1476,2953
487,0,5,5,1338,2436,153,888,4444
489,0,2,4,669,669,-243,304,1218
490,0,3,3,911,911,-243,243,730
491,0,1,1,2679,2679,2679,2679,2679
492,0,6,6,579,730,91,340,2040
495,0,2,2,365,365,-212,76,153
497,0,3,3,335,335,30,183,549
499,0,8,8,62,1034,-181,186,1492
501,0,3,3,2069,2069,61,761,2283
502,0,3,4,92,487,92,236,944
503,0,3,3,699,699,-304,294,883
504,0,1,1,610,610,610,610,610
505,0,3,3,365,365,92,193,579
506,0,3,3,1127,1127,153,548,1645
507,0,2,2,854,1887,854,1370,2741
508,0,2,2,273,273,184,228,457
509,0,2,2,487,487,396,441,883
510,0,3,3,1614,1614,31,791,2375
511,0,1,1,1065,1065,1065,1065,1065
512,0,4,4,426,1430,-90,510,2040
513,0,1,1,730,730,730,730,730
514,0,2,2,273,273,-59,107,214
515,0,3,3,638,638,-273,314,944
517,0,1,1,671,671,671,671,671
518,0,2,2,396,396,153,274,549
520,0,1,1,214,214,214,214,214
521,0,4,4,366,760,-212,327,1310
522,0,6,6,1856,1856,-120,522,3136
523,0,2,3,365,1249,122,578,1736
524,0,4,4,276,1156,-304,335,1341
525,0,4,4,487,671,60,395,1583
526,1,2,2,123,123,-304,-90,-181
527,0,1,1,334,334,334,334,334
528,0,2,2,184,184,0,92,184
529,1,2,2,122,122,-181,-29,-59
530,0,6,6,638,1522,92,568,3409
531,0,2,2,181,306,181,243,487
532,0,5,6,334,701,0,269,1614
533,0,2,3,120,487,-273,111,334
534,0,2,2,1218,1218,92,655,1310
535,0,2,2,1704,1704,487,1095,2191
536,0,1,1,334,334,334,334,334
537,0,2,3,823,823,122,558,1675
538,1,1,1,-31,-31,-31,-31,-31
539,0,3,3,215,215,-243,61,184
540,0,6,6,336,336,91,223,1341
541,0,2,2,334,334,153,243,487
542,0,5,6,577,699,-304,319,1918
543,0,5,6,61,458,61,279,1675
544,0,1,1,640,640,640,640,640
545,0,2,2,1461,1461,275,868,1736
546,0,4,4,366,638,61,327,1310
547,0,2,3,365,365,214,314,944
550,0,4,4,244,791,-181,297,1188
552,0,5,5,762,914,243,560,2802
553,0,2,2,424,424,-59,182,365
554,0,1,1,1522,1522,1522,1522,1522
555,0,2,2,396,396,-151,122,245
556,0,1,1,184,184,184,184,184
557,0,3,7,335,1399,-273,339,2375
558,0,7,8,1095,1095,275,483,3866
559,0,3,4,92,245,-181,76,306
560,1,1,1,-212,-212,-212,-212,-212
561,0,4,4,183,335,-304,53,214
562,0,2,2,761,761,-243,259,518
563,1,2,2,92,92,-243,-75,-151
564,0,3,3,911,911,-243,243,730
566,0,1,1,579,579,579,579,579
567,0,2,3,365,365,-243,71,214
569,0,3,3,1004,1004,0,436,1310
570,1,1,1,-151,-151,-151,-151,-151
571,0,5,6,395,578,153,340,2040
575,0,4,4,427,730,-334,312,1249
577,0,3,4,365,365,-181,144,579
578,1,1,1,-212,-212,-212,-212,-212
579,0,1,1,214,214,214,214,214
580,0,3,3,424,1492,-90,608,1826
581,0,2,2,518,518,-334,92,184
582,0,1,1,184,184,184,184,184
583,1,1,1,-212,-212,-212,-212,-212
584,0,2,2,365,365,-181,92,184
585,1,2,2,62,62,-243,-90,-181
587,0,5,5,608,608,122,316,1583
588,1,1,1,-151,-151,-151,-151,-151
589,0,3,4,426,426,-273,144,579
590,0,2,2,426,426,-151,137,275
591,0,1,1,153,153,153,153,153
592,1,1,1,-212,-212,-212,-212,-212
593,0,3,4,334,334,-181,83,334
594,0,1,1,1218,1218,1218,1218,1218
597,0,3,4,639,639,-334,137,549
600,0,4,4,62,303,-273,46,184
601,0,2,2,365,365,-151,107,214
602,0,3,3,153,396,153,284,852
603,0,1,1,457,457,457,457,457
604,0,1,1,214,214,214,214,214
605,1,2,2,122,122,-273,-75,-151
606,0,1,1,184,184,184,184,184
607,0,3,3,366,883,31,426,1280
608,0,1,1,214,214,214,214,214
609,0,1,1,761,761,761,761,761
610,0,3,3,365,457,-273,183,549
613,0,1,1,184,184,184,184,184
614,0,2,2,426,426,-212,107,214
615,0,2,2,457,457,122,289,579
616,1,1,1,-181,-181,-181,-181,-181
617,0,1,1,852,852,852,852,852
618,0,2,3,31,426,-273,61,184
619,0,1,3,214,579,151,314,944
620,0,4,4,1034,1034,334,563,2252
621,0,2,4,669,669,-243,304,1218
622,0,4,5,1735,1735,31,535,2679
623,0,2,2,365,365,-181,92,184
624,0,6,6,2070,2070,-120,502,3014
625,0,2,2,487,487,-273,107,214
627,1,1,1,-151,-151,-151,-151,-151
628,0,2,2,792,914,792,853,1706
629,0,2,2,183,396,183,289,579
630,0,5,5,61,212,-243,42,214
631,0,1,1,214,214,214,214,214
632,0,6,6,184,1369,-334,451,2710
633,0,1,1,334,334,334,334,334
635,0,2,2,580,580,-31,274,549
637,0,1,1,1645,1645,1645,1645,1645
638,0,4,5,1096,1096,-151,335,1675
640,0,1,1,214,214,214,214,214
641,0,2,2,181,184,181,182,365
645,0,2,3,245,485,-151,193,579
646,0,2,2,730,730,214,472,944
647,0,3,3,730,730,-243,193,579
648,0,2,2,700,1979,700,1339,2679
649,0,1,1,730,730,730,730,730
650,0,1,1,579,579,579,579,579
652,0,6,6,579,730,91,340,2040
654,0,1,1,1492,1492,1492,1492,1492
655,0,2,2,702,702,334,518,1036
656,0,1,1,2679,2679,2679,2679,2679
657,0,11,11,1127,1155,-243,401,4414
658,0,4,4,61,273,-212,68,275
659,0,4,4,396,396,-334,137,549
660,0,2,3,730,730,92,335,1005
661,0,2,2,911,911,-212,349,699
662,0,3,3,153,1551,153,659,1979
663,0,3,3,122,975,122,659,1979
664,0,2,2,3014,3014,852,1933,3866
665,0,1,1,1341,1341,1341,1341,1341
666,0,2,2,1186,2101,1186,1643,3287
667,0,3,4,92,487,92,236,944
668,0,2,3,89,426,-181,111,334
669,0,1,1,245,245,245,245,245
670,0,2,2,335,335,-151,92,184
671,0,2,5,1764,1764,214,681,3409
672,0,2,3,761,1430,-212,659,1979
673,0,6,6,396,609,-334,335,2010
674,0,3,3,365,1249,365,801,2405
675,0,5,5,61,212,-243,42,214
676,0,5,6,761,1066,-31,461,2771
677,0,3,4,457,762,457,601,2405
678,0,3,3,335,1402,335,791,2375
679,0,3,3,365,1430,184,659,1979
680,0,6,6,579,730,91,340,2040
681,0,1,1,334,334,334,334,334
682,0,4,4,61,273,-212,68,275
683,0,7,7,1127,1155,0,630,4414
684,0,2,2,730,730,214,472,944
685,0,1,1,730,730,730,730,730
687,0,2,2,2587,2587,1645,2116,4232
688,0,2,2,1461,1461,-31,715,1430
689,0,5,5,2252,2253,0,1339,6696
690,0,3,5,700,731,61,456,2283
691,0,1,1,487,487,487,487,487
692,0,11,11,1127,1155,-243,401,4414
693,0,5,5,2252,2253,0,1339,6696
694,0,5,5,2252,2253,0,1339,6696
695,0,1,1,730,730,730,730,730
696,0,11,11,1127,1155,-243,401,4414
700,0,2,2,10043,10043,518,5280,10561
701,1,1,2,242,242,-273,-15,-31
702,0,3,3,1004,1004,-59,355,1065
703,0,2,2,1369,1369,61,715,1430
704,0,3,5,184,1277,62,414,2071
705,0,2,2,580,580,-31,274,549
706,0,2,2,1734,1734,245,989,1979
709,1,1,1,-151,-151,-151,-151,-151
710,1,1,1,-212,-212,-212,-212,-212
711,0,1,1,61,61,61,61,61
712,0,3,4,92,457,-243,144,579
713,0,3,3,397,699,153,416,1249
714,0,2,2,457,457,-243,107,214
715,0,3,3,973,973,-151,294,883
716,0,2,3,365,365,-181,71,214
717,0,2,2,457,487,457,472,944
718,0,2,2,365,365,214,289,579
719,0,1,1,214,214,214,214,214
720,0,1,1,579,579,579,579,579
721,0,3,3,1553,1553,-31,538,1614
722,0,2,3,122,304,-212,71,214
723,0,3,3,1156,1156,-273,294,883
725,0,3,4,365,427,-243,228,914
726,1,1,1,-181,-181,-181,-181,-181
727,0,1,1,306,306,306,306,306
728,0,1,1,184,184,184,184,184
729,0,1,1,1127,1127,1127,1127,1127
730,1,1,1,-181,-181,-181,-181,-181
731,0,1,1,184,184,184,184,184
732,0,3,3,366,730,214,436,1310
734,0,6,6,92,1433,92,400,2405
735,0,2,2,457,761,457,609,1218
738,0,2,4,730,883,184,593,2375
739,0,5,6,365,1310,365,822,4932
741,0,8,10,61,670,-273,161,1614
742,0,2,2,184,184,0,92,184
743,0,6,6,334,1278,-90,390,2344
744,0,4,4,365,518,-334,220,883
745,0,1,2,639,639,457,548,1096
746,0,4,4,731,731,212,403,1614
747,0,3,3,1673,1673,-181,608,1826
748,0,3,3,335,2161,335,1035,3106
749,0,3,3,944,1795,-334,801,2405
750,0,6,7,1096,1096,-243,395,2771
751,0,3,3,395,853,-304,314,944
752,0,3,3,91,365,91,213,640
753,1,1,1,-90,-90,-90,-90,-90
754,1,1,1,-181,-181,-181,-181,-181
755,0,1,1,1036,1036,1036,1036,1036
756,0,2,2,457,457,122,289,579
758,0,3,3,881,881,-273,355,1065
760,0,3,3,335,335,-273,61,184
761,0,2,3,1158,1158,-31,426,1280
762,0,2,2,1065,1065,184,624,1249
763,0,3,3,274,883,61,406,1218
764,0,2,2,305,791,305,548,1096
766,0,2,2,792,792,-243,274,549
767,0,4,4,1004,1004,-334,297,1188
768,0,4,5,274,668,-90,243,1218
769,1,2,2,31,31,-243,-106,-212
770,0,2,2,214,365,214,289,579
772,1,1,1,-181,-181,-181,-181,-181
773,0,1,3,306,731,306,467,1402
775,1,1,1,-304,-304,-304,-304,-304
776,0,1,1,1948,1948,1948,1948,1948
779,0,4,4,335,457,-304,228,914
782,0,2,2,6635,6635,92,3363,6727
783,0,5,5,730,730,-212,207,1036
784,0,1,1,1583,1583,1583,1583,1583
785,0,1,1,5327,5327,5327,5327,5327
789,0,1,1,365,365,365,365,365
791,0,7,7,1127,1155,0,630,4414
792,0,2,2,822,822,-304,259,518
793,0,2,2,10043,10043,518,5280,10561
794,0,2,2,579,579,365,472,944
796,0,4,4,1461,2010,30,1065,4263
797,0,2,5,334,489,31,322,1614
798,0,8,8,1187,1461,-181,665,5327
799,0,2,2,1369,1369,61,715,1430
800,0,3,3,761,1280,334,791,2375
801,0,4,4,184,974,-334,312,1249
802,0,4,4,365,2314,-304,784,3136
803,0,1,2,975,1096,975,1035,2071
804,0,2,2,395,396,395,395,791
805,0,2,3,396,549,365,436,1310
806,0,1,2,150,1280,150,715,1430
807,0,4,6,184,1218,-181,329,1979
808,0,6,6,762,853,-243,456,2741
809,0,2,2,334,334,153,243,487
810,0,1,1,1310,1310,1310,1310,1310
811,0,3,3,335,2161,335,1035,3106
812,0,4,4,549,1186,-273,502,2010
813,0,4,4,549,549,-304,228,914
814,1,1,1,-151,-151,-151,-151,-151
815,0,2,2,456,2010,456,1233,2466
816,0,1,1,1005,1005,1005,1005,1005
817,0,5,5,730,730,-212,207,1036
818,0,1,1,5327,5327,5327,5327,5327
819,0,2,2,854,854,334,594,1188
821,0,11,11,1127,1155,-243,401,4414
822,0,1,2,1218,1218,-304,457,914
823,0,3,3,579,579,-120,314,944
824,0,4,5,761,1156,610,815,4079
825,0,2,2,730,730,306,518,1036
826,0,2,3,1006,2281,245,1177,3532
827,0,3,3,366,730,214,436,1310
828,0,1,1,5327,5327,5327,5327,5327
829,0,2,2,6635,6635,92,3363,6727
830,0,11,11,1127,1155,-243,401,4414
832,0,4,4,1037,1096,31,715,2863
833,0,7,7,1127,1155,0,630,4414
835,0,3,3,1673,1673,-181,608,1826
836,0,1,1,1005,1005,1005,1005,1005
837,0,6,6,579,730,91,340,2040
838,0,3,3,365,730,-151,314,944
839,0,2,2,791,791,-212,289,579
840,0,8,8,62,1034,-181,186,1492
841,0,1,1,184,184,184,184,184
842,0,1,2,791,1249,791,1020,2040
843,0,3,3,304,304,-243,51,153
844,0,2,2,518,518,-334,92,184
846,0,1,1,214,214,214,214,214
847,0,2,2,427,427,-243,92,184
848,0,3,3,245,273,-304,71,214
849,0,5,6,92,822,-151,284,1706
850,0,3,3,1918,1918,-59,680,2040
851,0,3,3,365,1218,92,558,1675
853,0,2,2,668,1280,668,974,1948
854,0,3,3,577,577,-334,162,487
855,0,3,3,1034,1034,-181,294,883
856,1,1,1,-334,-334,-334,-334,-334
858,0,5,6,365,365,-212,157,944
859,0,2,2,730,730,-151,289,579
860,0,3,3,1034,1034,-151,406,1218
861,0,2,2,457,487,457,472,944
862,0,2,3,62,365,-243,61,184
864,0,1,1,549,549,549,549,549
866,0,3,4,336,610,89,320,1280
867,0,1,1,579,579,579,579,579
869,0,3,3,2588,2588,912,1471,4414
870,0,2,2,1065,1065,306,685,1371
871,0,1,1,4475,4475,4475,4475,4475
872,1,1,1,-243,-243,-243,-243,-243
873,0,4,4,730,851,-243,448,1795
874,0,1,1,153,153,153,153,153
875,0,2,2,365,579,365,472,944
876,0,3,3,215,699,215,426,1280
878,0,2,2,518,518,396,457,914
879,1,1,1,-243,-243,-243,-243,-243
881,0,1,2,62,487,62,274,549
882,0,3,3,365,518,-334,183,549
883,0,5,5,397,1644,-304,548,2741
884,1,2,2,92,92,-243,-75,-151
885,0,3,3,31,1277,31,538,1614
886,1,1,2,31,31,-212,-90,-181
887,0,3,4,245,671,121,327,1310
888,0,2,2,365,365,-181,92,184
889,0,2,2,943,943,640,791,1583
890,0,2,2,151,1371,151,761,1522
891,0,6,6,579,730,91,340,2040
892,0,2,2,700,700,214,457,914
893,0,2,2,365,365,214,289,579
895,0,4,4,396,396,-212,137,549
896,0,2,3,425,2710,425,1329,3987
897,0,2,3,215,515,-181,183,549
900,0,3,4,334,639,184,395,1583
901,1,1,1,-151,-151,-151,-151,-151
